رقم الخط,المواقف,السعر
225,"المظلات, السواح, سراي القبة, شارع النزهة, الطيران, طريق النصر, هشام بركات, مصطفى النحاس, الحي الثامن, الحي العاشر, التجمع الاول",20 جنيه
226,"ميدان لبنان, م الكيت كات, شارع النيل, ك 15 مايو, الزمالك, رمسيس, عباسية, الأوتوستراد, أول عباس, النادي الاهلي, مدينة الأمل",20 جنيه
255,"أبو زعبل, عين شمس, ش الحرية, قسم الحدائق, ش سكة الوايلي, مصر والسودان, میدان رمسيس, ش نجيب الريحاني, محطة العتبة الجراج",20 جنيه
259,"مساكن شيراتون, طريق النصر, ش النزهة, ابو بكر الصديق, شارع الحرية, مسطرد, الشارع الجديد, مساكن اسكو",20 جنيه
265,"المرج, ش عين شمس, ش سليم الأول, ش القبة, روكسي, الاتحادية, كلية البنات, خضر التوني, ش الطيران, الحي السابع",20 جنيه
300,"العمرانية, شارع جامعة القاهرة, كورنيش النيل, السيدة زينب, ش بورسعيد, السيدة عائشة, صلاح سالم, هشام بركات, زهراء مدينة نصر, الرحاب",20 جنيه
302,"التجمع الاول, زهراء م . نصر, احمد الزمر, عباس العقاد, جامعة الأزهر, طريق النصر, العباسية, ش السراي, المنيل, المماليك",20 جنيه
303,"مؤسسة الزكاة, الحلمية, روكسي, جامعة عين شمس, العباسية, رمسيس, التحرير, كورنيش النيل, شارع السراي, شارع المنيل, المماليك",20 جنيه
304,"المظلات, الخلفاوي, منشية الجمل, الفنجري, الأوتوستراد, عباس العقاد, مصطفى النحاس, العاشر, التجمع الاول",20 جنيه
305,"روض الفرج, ش شبرا, الزاوية الحمراء, سكة الوايلى, حدائق القبة, سراي القبة, جسر السويس, المحكمة, الحجاز, عبد الحميد بدوى, م مساكن شيراتون",20 جنيه
307,"روض الفرج, ش شبرا, سكة الوايلي, حدائق القبة, الفنجري, ط النصر, هشام بركات, الدائري, اخناتون, اربيلا, الزلزال, القطامية",20 جنيه
308,"الخصوص, ترعة الاسماعيلية, مسطرد, المطرية, المحكمة, الأوتوستراد, مكرم عبيد, مصطفى النحاس, الحي الثامن ( التبة ), الرحاب",20 جنيه
309,"محمد نجيب, جسر السويس, الألف مسكن, المحكمة, روكسي, الميرغني, الطيران, هشام بركات, الحي السابع, السفارات, المقطم, الأسمرات",20 جنيه
310,"الخصوص, ش بورسعيد, الزاوية الحمراء, احمد حلمى, دوران شبرا, التعاون, تحرير, بور سعيد, السيدة عائشة, صلاح سالم, الأباجية",20 جنيه
311,"الخصوص, السواح, سكة الوايلى, ميدان الجيش, بور سعيد, شارع قدري, شارع شيخون, میدان صلاح الدين, شارع مصطبة المحمل, القلعة",20 جنيه
314,"روض الفرج, ش شبرا, رمسيس, العباسية, الثورة, طريق النصر, الحي العاشر, كوبري الفطيم, شارع السادات, الرحاب",20 جنيه
329,"مدينة الأمل, الأوتوستراد, عباس العقاد, هشام بركات, امتداد رمسيس, عباسية, رمسيس, كوبري 15 مايو, الزمالك, جامعة الدول, بولاق الدكرور",20 جنيه
333,"كهرباء الاهرام, شارع فيصل, جامعة القاهرة, شارع السراي, كورنيش, فم الخليج, ش بورسعيد, عتبة (الجراج)",20 جنيه
355,"العتبة, ش الجيش, ش بور سعيد, ش سكة الوايلى, م حدائق القبة, م المطرية, م الحلمية, ش عين شمس, عزبة النخل, المرج الجديدة, الخانكة",20 جنيه
380,"العمرانية, ترعة الزمر, جامعة القاهرة, مجرى العيون, السيدة عائشة, الأوتوستراد, نادي السكة, هشام بركات, الحي الثامن",20 جنيه
381,"مطار القاهرة, ش النزهة, الأوتوستراد, العباسية, رمسيس, 15 مايو, ميدان سفنكس, كوبري عرابي, شارع السودان, بولاق الدكرور",20 جنيه
404,"المقطم, طريق الأوتوستراد, السيدة عائشة, مجرى العيون, فم الخليج, التحرير, كورنيش النيل, كوبري 15 مايو, سفنكس, كوبري عرابي, بشتيل",20 جنيه
421,"الخصوص, مسطرد, المطرية, سراي القبة, روكسي, الخليفة المأمون, عبده باشا, باب الشعرية, ابو الريش, السيدة نفيسة",20 جنيه
424,"الزاوية الحمراء, منشية الجمل, ش بورسعيد, رمسيس, ك 15 مايو, الزمالك, احمد عرابي, السودان, جامعة القاهرة, م الجيزة, العمرانية",20 جنيه
